natural_key,id_province,id_prize,number,status,created_date,updated_date
﻿1,XSDN - 10K3,giai8,21,ER,,9999-12-31
﻿2,XSDN - 10K3,giai7,019,ER,,9999-12-31
﻿3,XSDN - 10K3,giai6,4033,ER,,9999-12-31
4,XSDN - 10K3,giai6,4103,ER,,9999-12-31
﻿5,XSDN - 10K3,giai6,5011,ER,,9999-12-31
﻿6,XSDN - 10K3,giai5,7164,ER,,9999-12-31
﻿7,XSDN - 10K3,giai4,79745,ER,,9999-12-31
﻿8,XSDN - 10K3,giai4,9313,ER,,9999-12-31
﻿9,XSDN - 10K3,giai4,54185,ER,,9999-12-31
﻿10,XSDN - 10K3,giai4,43572,ER,,9999-12-31
﻿11,XSDN - 10K3,giai4,81444,ER,,9999-12-31
﻿12,XSDN - 10K3,giai4,28144,ER,,9999-12-31
﻿15,XSDN - 10K3,giai4,11047,ER,,9999-12-31
﻿14,XSDN - 10K3,giai3,79422,ER,,9999-12-31
﻿15,XSDN - 10K3,giai3,75008,ER,,9999-12-31
﻿16,XSDN - 10K3,giai2,55749,ER,,9999-12-31
﻿17,XSDN - 10K3,giai1,79685,ER,,9999-12-31
﻿18,XSDN - 10K3,giaidb,040588,ER,,9999-12-31
﻿19,XSCT - K3T10,giai8,01,ER,,9999-12-31
﻿20,XSCT - K3T10,giai7,70,ER,,9999-12-31
﻿21,XSCT - K3T10,giai6,6958,ER,,9999-12-31
﻿22,XSCT - K3T10,giai6,4581,ER,,9999-12-31
﻿23,XSCT - K3T10,giai6,7219,ER,,9999-12-31
﻿24,XSCT - K3T10,giai5,4258,ER,,9999-12-31
﻿25,XSCT - K3T10,giai4,39671,ER,,9999-12-31
﻿26,XSCT - K3T10,giai4,78458,ER,,9999-12-31
﻿27,XSCT - K3T10,giai4,77066,ER,,9999-12-31
﻿28,XSCT - K3T10,giai4,66574,ER,,9999-12-31
﻿29,XSCT - K3T10,giai4,6489,ER,,9999-12-31
﻿30,XSCT - K3T10,giai4,42259,ER,,9999-12-31
﻿31,XSCT - K3T10,giai4,42219,ER,,9999-12-31
﻿32,XSCT - K3T10,giai3,53233,ER,,9999-12-31
﻿33,XSCT - K3T10,giai3,4473,ER,,9999-12-31
﻿34,XSCT - K3T10,giai2,10358,ER,,9999-12-31
﻿35,XSCT - K3T10,giai1,2591,ER,,9999-12-31
﻿36,XSCT - K3T10,giaidb,178259,ER,,9999-12-31
﻿37,XSST - T10K3,giai8,95,ER,,9999-12-31
﻿38,XSST - T10K3,giai7,955,ER,,9999-12-31
﻿39,XSST - T10K3,giai6,5839,ER,,9999-12-31
﻿40,XSST - T10K3,giai6,8785,ER,,9999-12-31
﻿41,XSST - T10K3,giai6,5936,ER,,9999-12-31
﻿42,XSST - T10K3,giai5,5865,ER,,9999-12-31
﻿43,XSST - T10K3,giai4,58111,ER,,9999-12-31
﻿44,XSST - T10K3,giai4,89084,ER,,9999-12-31
﻿45,XSST - T10K3,giai4,57143,ER,,9999-12-31
﻿46,XSST - T10K3,giai4,43922,ER,,9999-12-31
﻿47,XSST - T10K3,giai4,87817,ER,,9999-12-31
﻿48,XSST - T10K3,giai4,73856,ER,,9999-12-31
﻿49,XSST - T10K3,giai4,72951,ER,,9999-12-31
﻿50,XSST - T10K3,giai3,89683,ER,,9999-12-31
﻿51,XSST - T10K3,giai3,03999,ER,,9999-12-31
﻿52,XSST - T10K3,giai2,29928,ER,,9999-12-31
﻿53,XSST - T10K3,giai1,34073,ER,,9999-12-31
﻿54,XSST - T10K3,giaidb,919634,ER,,9999-12-31
